Time (s)	COARSE-SANDSTONE-1's OIP (m3)	COARSE-SANDSTONE-1's WIP (m3)	FAULT's OIP (m3)	FAULT's WIP (m3)	FINE-SANDSTONE-1's OIP (m3)	FINE-SANDSTONE-1's WIP (m3)	GRAINSTONE-1's OIP (m3)	GRAINSTONE-1's WIP (m3)	GRAINSTONE-2's OIP (m3)	GRAINSTONE-2's WIP (m3)	GRAINSTONE-3's OIP (m3)	GRAINSTONE-3's WIP (m3)	GRAINSTONE-4's OIP (m3)	GRAINSTONE-4's WIP (m3)	GRAINSTONE-5's OIP (m3)	GRAINSTONE-5's WIP (m3)	GRAINSTONE-6's OIP (m3)	GRAINSTONE-6's WIP (m3)	GRAINSTONE-7's OIP (m3)	GRAINSTONE-7's WIP (m3)	GRAINSTONE-8's OIP (m3)	GRAINSTONE-8's WIP (m3)	GRAINSTONE-9's OIP (m3)	GRAINSTONE-9's WIP (m3)	MARL-1's OIP (m3)	MARL-1's WIP (m3)	MARL-2's OIP (m3)	MARL-2's WIP (m3)	MARL-3's OIP (m3)	MARL-3's WIP (m3)	MARL-4's OIP (m3)	MARL-4's WIP (m3)	MARL-5's OIP (m3)	MARL-5's WIP (m3)	MARL-6's OIP (m3)	MARL-6's WIP (m3)	MARL-7's OIP (m3)	MARL-7's WIP (m3)	MARL-8's OIP (m3)	MARL-8's WIP (m3)	MEDIUM-SANDSTONE-1's OIP (m3)	MEDIUM-SANDSTONE-1's WIP (m3)	MEDIUM-SANDSTONE-2's OIP (m3)	MEDIUM-SANDSTONE-2's WIP (m3)	MEDIUM-SANDSTONE-3's OIP (m3)	MEDIUM-SANDSTONE-3's WIP (m3)	MUDSTONE-1's OIP (m3)	MUDSTONE-1's WIP (m3)	MUDSTONE-2's OIP (m3)	MUDSTONE-2's WIP (m3)	MUDSTONE-3's OIP (m3)	MUDSTONE-3's WIP (m3)	MUDSTONE-4's OIP (m3)	MUDSTONE-4's WIP (m3)	MUDSTONE-5's OIP (m3)	MUDSTONE-5's WIP (m3)	Model's OIP (m3)	Model's WIP (m3)	PACKSTONE-1's OIP (m3)	PACKSTONE-1's WIP (m3)	TOP-SEAL's OIP (m3)	TOP-SEAL's WIP (m3)	UNKNOWN-1's OIP (m3)	UNKNOWN-1's WIP (m3)	UNKNOWN-2's OIP (m3)	UNKNOWN-2's WIP (m3)	UNKNOWN-3's OIP (m3)	UNKNOWN-3's WIP (m3)	WACKSTONE-1's OIP (m3)	WACKSTONE-1's WIP (m3)	WELL-1's OIP (m3)	WELL-1's WIP (m3)	WELL-2's OIP (m3)	WELL-2's WIP (m3)	
0	7.79248	39.278	7.55216	67.9694	27.565	119.506	3.76618	38.0802	11.6453	117.747	8.70098	44.3538	9.30351	57.1502	6.98777	82.599	18.3024	54.9073	9.86135	60.5769	5.81846	58.8311	1.22701	16.3017	107.857	721.813	118.348	792.022	121.468	812.899	149.162	998.237	24.3276	162.808	19.7007	131.843	64.0059	428.347	1.86209	12.4617	23.7658	110	23.9622	110.909	1.91661	8.87104	4.26774	28.561	1.23032	11.0729	0.544733	8.53414	0.91951	7.43967	0.596921	6.03553	1221.3	8028.41	1.80369	13.6125	0	0.148515	195.616	1309.12	44.7387	299.405	190.968	1278.02	1.28321	10.3823	0	8.56027	4.43715	0	
1	7.79248	39.278	7.55216	67.9694	27.565	119.506	3.76618	38.0802	11.6453	117.747	8.70098	44.3538	9.30351	57.1502	6.98778	82.599	18.3024	54.9073	9.86135	60.5769	5.81846	58.8311	1.22701	16.3017	107.857	721.813	118.348	792.022	121.468	812.899	149.162	998.237	24.3276	162.808	19.7007	131.843	64.0059	428.347	1.86209	12.4617	23.7658	110	23.9622	110.909	1.91661	8.87104	4.26774	28.561	1.23032	11.0729	0.544733	8.53414	0.91951	7.43967	0.596921	6.03553	1221.3	8028.41	1.80369	13.6125	0	0.148515	195.616	1309.12	44.7387	299.405	190.968	1278.02	1.28321	10.3823	0	8.56027	4.43715	9.05965e-018	
2.592e+006	7.79248	39.278	7.55216	67.9694	27.565	119.506	3.94897	37.8975	12.5234	116.869	8.96125	44.0935	9.92721	56.5265	23.2327	66.3541	20.8637	52.346	9.86135	60.5769	5.81846	58.8311	1.22701	16.3017	108.429	721.241	118.673	791.697	121.715	812.651	153.235	994.164	26.164	160.971	19.7007	131.843	64.0059	428.347	1.86209	12.4617	23.7658	110	23.9622	110.909	1.91661	8.87104	6.21902	26.6097	1.23032	11.0729	0.544733	8.53414	0.91951	7.43967	0.596921	6.03553	1255.81	7993.9	1.80369	13.6125	8.38813e-011	0.148515	200.339	1304.4	44.7387	299.405	190.968	1278.02	1.28321	10.3823	0	8.56027	4.46126	-0.0241092	
5.184e+006	7.79248	39.278	9.40912	66.1125	27.565	119.506	4.09452	37.7519	13.0368	116.355	9.16588	43.8889	10.8786	55.575	31.0242	58.5626	23.7076	49.5021	9.86135	60.5769	5.81846	58.8311	1.22701	16.3017	108.519	721.151	118.674	791.697	121.806	812.561	163.342	984.057	28.2838	158.851	19.7007	131.843	64.0059	428.347	1.86209	12.4617	23.7658	110	23.9622	110.909	1.91661	8.87104	7.62314	25.2056	1.23032	11.0729	0.544733	8.53414	0.91951	7.43967	0.596921	6.03553	1290.31	7959.4	1.80369	13.6125	2.68733e-010	0.148515	206.719	1298.02	44.7387	299.405	190.968	1278.02	1.28321	10.3823	0	8.56027	4.46587	-0.0287205	
7.776e+006	7.79248	39.278	11.7612	63.7604	27.565	119.506	4.2375	37.6089	13.4657	115.927	9.35331	43.7015	12.4844	53.9693	33.6734	55.9134	27.1417	46.068	9.86135	60.5769	5.81846	58.8311	1.22701	16.3017	108.587	721.083	118.665	791.705	122.199	812.168	174.363	973.037	31.0152	156.12	19.7007	131.843	64.0059	428.347	1.86209	12.4617	23.7658	110	23.9622	110.909	1.91661	8.87104	7.82571	25.003	1.23032	11.0729	0.544733	8.53414	0.91951	7.43967	0.596921	6.03553	1324.81	7924.9	1.80369	13.6125	5.586e-010	0.148515	216.011	1288.73	44.7387	299.405	190.968	1278.02	1.28321	10.3823	0	8.56027	4.46751	-0.0303652	
1.0368e+007	7.79248	39.278	14.0239	61.4977	27.565	119.506	4.38431	37.4621	13.8623	115.53	9.5435	43.5113	13.9502	52.5034	34.9148	54.672	30.4898	42.7199	9.86135	60.5769	5.81846	58.8311	1.22701	16.3017	108.652	721.018	118.666	791.705	122.733	811.634	182.201	965.198	35.1453	151.99	19.7007	131.843	64.0059	428.347	1.86209	12.4617	23.7658	110	23.9622	110.909	1.91661	8.87104	7.83108	24.9977	1.23032	11.0729	0.544733	8.53414	0.91951	7.43967	0.596921	6.03553	1359.32	7890.39	1.80369	13.6125	9.58601e-010	0.148515	228.888	1275.85	44.7387	299.405	190.968	1278.02	1.28443	10.3811	0	8.56027	4.46885	-0.031702	
1.296e+007	7.79248	39.278	16.0416	59.48	27.565	119.506	4.53354	37.3129	14.2634	115.129	9.73591	43.3188	15.6749	50.7787	35.638	53.9488	32.951	40.2587	9.86135	60.5769	5.81846	58.8311	1.22701	16.3017	108.72	720.95	118.678	791.692	123.09	811.277	188.379	959.02	38.32	148.815	19.7041	131.84	64.0059	428.347	1.86209	12.4617	23.7658	110	23.9622	110.909	1.91661	8.87104	7.81136	25.0174	1.23032	11.0729	0.544733	8.53414	0.91951	7.43967	0.596921	6.03553	1393.82	7855.89	1.90243	13.5137	1.47114e-009	0.148515	245.769	1258.97	44.7789	299.365	190.968	1278.02	1.33042	10.3351	0	8.56027	4.46299	-0.0258358	
1.5552e+007	7.79248	39.278	17.6866	57.835	27.565	119.506	4.67523	37.1712	14.6849	114.707	9.91738	43.1374	17.0607	49.393	36.1042	53.4826	34.8675	38.3422	9.99105	60.4472	6.03728	58.6123	1.22701	16.3017	108.801	720.869	118.711	791.659	123.723	810.644	193.968	953.431	40.6581	146.477	20.7243	130.82	64.0059	428.347	1.86209	12.4617	23.7658	110	23.9622	110.909	1.91661	8.87104	7.82379	25.005	1.23032	11.0729	0.544733	8.53414	0.91951	7.43967	0.596921	6.03553	1428.32	7821.39	2.32213	13.094	2.10995e-009	0.148515	260.795	1243.94	47.5218	296.622	190.968	1278.02	1.42224	10.2433	0	8.56027	4.47233	-0.0351821	
1.8144e+007	7.79248	39.278	18.533	56.9886	27.565	119.506	4.80769	37.0387	15.1362	114.256	10.1451	42.9097	18.7284	47.7252	36.4878	53.099	35.7901	37.4196	10.4198	60.0184	8.36194	56.2876	1.22701	16.3017	108.896	720.774	118.755	791.615	124.238	810.129	198.505	948.894	42.6109	144.524	23.0512	128.493	64.5062	427.847	1.86209	12.4617	23.7658	110	23.9622	110.909	1.91661	8.87104	7.84214	24.9866	1.25725	11.046	0.544733	8.53414	0.91951	7.43967	0.596921	6.03553	1462.83	7786.88	2.48025	12.9359	2.84214e-009	0.148515	274.824	1229.92	49.9313	294.213	190.968	1278.02	1.93857	9.72694	0	8.56027	4.46171	-0.0245642	
2.0736e+007	7.79248	39.278	19.154	56.3676	27.565	119.506	4.94424	36.9022	15.599	113.793	10.4089	42.6459	20.1126	46.3411	36.8753	52.7115	36.3573	36.8524	10.7089	59.7293	10.3438	54.3058	1.22701	16.3017	108.991	720.679	118.811	791.559	124.556	809.81	203.334	944.065	43.63	143.505	23.881	127.663	70.0525	422.301	1.86209	12.4617	23.7658	110	23.9622	110.909	1.91661	8.87104	7.87513	24.9536	1.42671	10.8765	0.544733	8.53414	0.91951	7.43967	0.596921	6.03553	1497.33	7752.38	2.56988	12.8463	3.65112e-009	0.148515	287.494	1217.25	52.0975	292.047	190.968	1278.02	2.53298	9.13253	0	8.56027	4.45754	-0.0203895	
