Time (s)	COARSE-SANDSTONE-1's OIP (m3)	COARSE-SANDSTONE-1's WIP (m3)	FAULT's OIP (m3)	FAULT's WIP (m3)	FINE-SANDSTONE-1's OIP (m3)	FINE-SANDSTONE-1's WIP (m3)	GRAINSTONE-1's OIP (m3)	GRAINSTONE-1's WIP (m3)	GRAINSTONE-2's OIP (m3)	GRAINSTONE-2's WIP (m3)	GRAINSTONE-3's OIP (m3)	GRAINSTONE-3's WIP (m3)	GRAINSTONE-4's OIP (m3)	GRAINSTONE-4's WIP (m3)	GRAINSTONE-5's OIP (m3)	GRAINSTONE-5's WIP (m3)	GRAINSTONE-6's OIP (m3)	GRAINSTONE-6's WIP (m3)	GRAINSTONE-7's OIP (m3)	GRAINSTONE-7's WIP (m3)	GRAINSTONE-8's OIP (m3)	GRAINSTONE-8's WIP (m3)	GRAINSTONE-9's OIP (m3)	GRAINSTONE-9's WIP (m3)	MARL-1's OIP (m3)	MARL-1's WIP (m3)	MARL-2's OIP (m3)	MARL-2's WIP (m3)	MARL-3's OIP (m3)	MARL-3's WIP (m3)	MARL-4's OIP (m3)	MARL-4's WIP (m3)	MARL-5's OIP (m3)	MARL-5's WIP (m3)	MARL-6's OIP (m3)	MARL-6's WIP (m3)	MARL-7's OIP (m3)	MARL-7's WIP (m3)	MARL-8's OIP (m3)	MARL-8's WIP (m3)	MEDIUM-SANDSTONE-1's OIP (m3)	MEDIUM-SANDSTONE-1's WIP (m3)	MEDIUM-SANDSTONE-2's OIP (m3)	MEDIUM-SANDSTONE-2's WIP (m3)	MEDIUM-SANDSTONE-3's OIP (m3)	MEDIUM-SANDSTONE-3's WIP (m3)	MUDSTONE-1's OIP (m3)	MUDSTONE-1's WIP (m3)	MUDSTONE-2's OIP (m3)	MUDSTONE-2's WIP (m3)	MUDSTONE-3's OIP (m3)	MUDSTONE-3's WIP (m3)	MUDSTONE-4's OIP (m3)	MUDSTONE-4's WIP (m3)	MUDSTONE-5's OIP (m3)	MUDSTONE-5's WIP (m3)	Model's OIP (m3)	Model's WIP (m3)	PACKSTONE-1's OIP (m3)	PACKSTONE-1's WIP (m3)	TOP-SEAL's OIP (m3)	TOP-SEAL's WIP (m3)	UNKNOWN-1's OIP (m3)	UNKNOWN-1's WIP (m3)	UNKNOWN-2's OIP (m3)	UNKNOWN-2's WIP (m3)	UNKNOWN-3's OIP (m3)	UNKNOWN-3's WIP (m3)	WACKSTONE-1's OIP (m3)	WACKSTONE-1's WIP (m3)	WELL-1's OIP (m3)	WELL-1's WIP (m3)	WELL-2's OIP (m3)	WELL-2's WIP (m3)	
0	7.79248	39.278	7.55216	67.9694	27.565	119.506	3.76618	38.0802	11.6453	117.747	8.70098	44.3538	9.30351	57.1502	6.98777	82.599	18.3024	54.9073	9.86135	60.5769	5.81846	58.8311	1.22701	16.3017	107.857	721.813	118.348	792.022	121.468	812.899	149.162	998.237	24.3276	162.808	19.7007	131.843	64.0059	428.347	1.86209	12.4617	23.7658	110	23.9622	110.909	1.91661	8.87104	4.26774	28.561	1.23032	11.0729	0.544733	8.53414	0.91951	7.43967	0.596921	6.03553	1221.3	8028.41	1.80369	13.6125	0	0.148515	195.616	1309.12	44.7387	299.405	190.968	1278.02	1.28321	10.3823	0	8.56027	4.43715	0	
1	7.79248	39.278	7.55216	67.9694	27.565	119.506	3.76618	38.0802	11.6453	117.747	8.70098	44.3538	9.30351	57.1502	6.98777	82.599	18.3024	54.9073	9.86135	60.5769	5.81846	58.8311	1.22701	16.3017	107.857	721.813	118.348	792.022	121.468	812.899	149.162	998.237	24.3276	162.808	19.7007	131.843	64.0059	428.347	1.86209	12.4617	23.7658	110	23.9622	110.909	1.91661	8.87104	4.26774	28.561	1.23032	11.0729	0.544733	8.53414	0.91951	7.43967	0.596921	6.03553	1221.3	8028.41	1.80369	13.6125	0	0.148515	195.616	1309.12	44.7387	299.405	190.968	1278.02	1.28321	10.3823	0	8.56027	4.43715	4.10198e-018	
2.592e+006	7.79248	39.278	7.55216	67.9694	27.565	119.506	3.91763	37.9288	12.3594	117.033	8.89965	44.1551	9.77026	56.6834	19.4258	70.161	20.3794	52.8304	9.86135	60.5769	5.81846	58.8311	1.22701	16.3017	108.389	721.281	118.644	791.726	121.7	812.667	150.75	996.649	25.6871	161.448	19.7007	131.843	64.0059	428.347	1.86209	12.4617	23.7658	110	23.9622	110.909	1.91661	8.87104	5.20914	27.6196	1.23032	11.0729	0.544733	8.53414	0.91951	7.43967	0.596921	6.03553	1245.34	8004.37	1.80369	13.6125	6.85203e-011	0.148515	198.632	1306.11	44.7387	299.405	190.968	1278.02	1.28321	10.3823	0	8.56027	4.46425	-0.0271024	
5.184e+006	7.79248	39.278	7.83968	67.6819	27.565	119.506	4.04343	37.803	12.8027	116.59	9.0631	43.9917	10.132	56.3217	28.027	61.5598	22.1993	51.0104	9.86135	60.5769	5.81846	58.8311	1.22701	16.3017	108.475	721.195	118.641	791.73	121.698	812.669	156.42	990.979	26.8471	160.288	19.7007	131.843	64.0059	428.347	1.86209	12.4617	23.7658	110	23.9622	110.909	1.91661	8.87104	6.68483	26.1439	1.23032	11.0729	0.544733	8.53414	0.91951	7.43967	0.596921	6.03553	1269.38	7980.33	1.80369	13.6125	2.29542e-010	0.148515	202.472	1302.27	44.7387	299.405	190.968	1278.02	1.28321	10.3823	0	8.56027	4.47237	-0.0352195	
7.776e+006	7.79248	39.278	9.80389	65.7177	27.565	119.506	4.16763	37.6788	13.1705	116.222	9.20035	43.8544	11.0601	55.3935	32.4734	57.1134	24.5019	48.7078	9.86135	60.5769	5.81846	58.8311	1.22701	16.3017	108.538	721.131	118.632	791.738	121.837	812.53	162.811	984.588	28.5367	158.598	19.7007	131.843	64.0059	428.347	1.86209	12.4617	23.7658	110	23.9622	110.909	1.91661	8.87104	7.31627	25.5125	1.23032	11.0729	0.544733	8.53414	0.91951	7.43967	0.596921	6.03553	1293.42	7956.3	1.80369	13.6125	4.85335e-010	0.148515	207.335	1297.4	44.7387	299.405	190.968	1278.02	1.28321	10.3823	0	8.56027	4.46885	-0.0316998	
1.0368e+007	7.79248	39.278	11.512	64.0096	27.565	119.506	4.29411	37.5523	13.5031	115.889	9.32758	43.7272	12.2695	54.1842	34.467	55.1198	26.9457	46.2641	9.86135	60.5769	5.81846	58.8311	1.22701	16.3017	108.6	721.07	118.627	791.743	122.064	812.303	170.459	976.941	30.2782	156.857	19.7007	131.843	64.0059	428.347	1.86209	12.4617	23.7658	110	23.9622	110.909	1.91661	8.87104	7.46508	25.3637	1.23032	11.0729	0.544733	8.53414	0.91951	7.43967	0.596921	6.03553	1317.45	7932.26	1.80369	13.6125	8.35215e-010	0.148515	213.614	1291.13	44.7387	299.405	190.968	1278.02	1.28321	10.3823	0	8.56027	4.46571	-0.0285585	
1.296e+007	7.79248	39.278	13.1602	62.3614	27.565	119.506	4.42167	37.4248	13.8186	115.574	9.45129	43.6035	13.2132	53.2404	35.5922	53.9946	29.585	43.6247	9.86135	60.5769	5.81846	58.8311	1.22701	16.3017	108.666	721.003	118.628	791.743	122.431	811.935	176.692	970.707	33.0151	154.12	19.7007	131.843	64.0059	428.347	1.86209	12.4617	23.7658	110	23.9622	110.909	1.91661	8.87104	7.52524	25.3035	1.23032	11.0729	0.544733	8.53414	0.91951	7.43967	0.596921	6.03553	1341.49	7908.22	1.80369	13.6125	1.28402e-009	0.148515	221.266	1283.47	44.7387	299.405	190.968	1278.02	1.28321	10.3823	0	8.56027	4.46188	-0.0247289	
1.5552e+007	7.79248	39.278	14.6902	60.8314	27.565	119.506	4.55428	37.2921	14.1333	115.259	9.5758	43.479	14.4998	51.9539	36.267	53.3197	32.2036	41.0061	9.86135	60.5769	5.81846	58.8311	1.22701	16.3017	108.734	720.936	118.636	791.735	122.72	811.646	181.244	966.155	35.6791	151.456	19.7007	131.843	64.0059	428.347	1.86209	12.4617	23.7658	110	23.9622	110.909	1.91661	8.87104	7.54846	25.2803	1.23032	11.0729	0.544733	8.53414	0.91951	7.43967	0.596921	6.03553	1365.53	7884.18	1.80369	13.6125	1.83081e-009	0.148515	231.015	1273.72	44.7387	299.405	190.968	1278.02	1.28408	10.3814	0	8.56027	4.46346	-0.0263084	
1.8144e+007	7.79248	39.278	16.1494	59.3722	27.565	119.506	4.68467	37.1617	14.4581	114.934	9.70106	43.3537	15.7888	50.6649	36.711	52.8758	34.0303	39.1794	9.86135	60.5769	5.81846	58.8311	1.22701	16.3017	108.811	720.858	118.651	791.72	122.932	811.435	185.375	962.024	37.9746	149.161	19.7051	131.839	64.0059	428.347	1.86209	12.4617	23.7658	110	23.9622	110.909	1.91661	8.87104	7.56419	25.2646	1.23032	11.0729	0.544733	8.53414	0.91951	7.43967	0.596921	6.03553	1389.57	7860.15	1.85527	13.5609	2.48291e-009	0.148515	242.612	1262.13	44.7455	299.399	190.968	1278.02	1.30906	10.3564	0	8.56027	4.47129	-0.0341394	
2.0736e+007	7.79248	39.278	17.5308	57.9908	27.565	119.506	4.80321	37.0432	14.7976	114.595	9.82655	43.2282	16.8865	49.5672	37.0295	52.5573	35.2696	37.9402	9.86135	60.5769	5.85132	58.7982	1.22701	16.3017	108.905	720.765	118.68	791.691	123.343	811.024	189.401	957.999	39.6654	147.47	20.1198	131.424	64.0059	428.347	1.86209	12.4617	23.7658	110	23.9622	110.909	1.91661	8.87104	7.58865	25.2401	1.23032	11.0729	0.544733	8.53414	0.91951	7.43967	0.596921	6.03553	1413.6	7836.11	2.21001	13.2062	3.2135e-009	0.148515	253.868	1250.87	45.7518	298.392	190.968	1278.02	1.39431	10.2712	0	8.56027	4.46332	-0.0261731	
