Time (s)	COARSE-SANDSTONE-1's OIP (m3)	COARSE-SANDSTONE-1's WIP (m3)	FAULT's OIP (m3)	FAULT's WIP (m3)	FINE-SANDSTONE-1's OIP (m3)	FINE-SANDSTONE-1's WIP (m3)	GRAINSTONE-1's OIP (m3)	GRAINSTONE-1's WIP (m3)	GRAINSTONE-2's OIP (m3)	GRAINSTONE-2's WIP (m3)	GRAINSTONE-3's OIP (m3)	GRAINSTONE-3's WIP (m3)	GRAINSTONE-4's OIP (m3)	GRAINSTONE-4's WIP (m3)	GRAINSTONE-5's OIP (m3)	GRAINSTONE-5's WIP (m3)	GRAINSTONE-6's OIP (m3)	GRAINSTONE-6's WIP (m3)	GRAINSTONE-7's OIP (m3)	GRAINSTONE-7's WIP (m3)	GRAINSTONE-8's OIP (m3)	GRAINSTONE-8's WIP (m3)	GRAINSTONE-9's OIP (m3)	GRAINSTONE-9's WIP (m3)	MARL-1's OIP (m3)	MARL-1's WIP (m3)	MARL-2's OIP (m3)	MARL-2's WIP (m3)	MARL-3's OIP (m3)	MARL-3's WIP (m3)	MARL-4's OIP (m3)	MARL-4's WIP (m3)	MARL-5's OIP (m3)	MARL-5's WIP (m3)	MARL-6's OIP (m3)	MARL-6's WIP (m3)	MARL-7's OIP (m3)	MARL-7's WIP (m3)	MARL-8's OIP (m3)	MARL-8's WIP (m3)	MEDIUM-SANDSTONE-1's OIP (m3)	MEDIUM-SANDSTONE-1's WIP (m3)	MEDIUM-SANDSTONE-2's OIP (m3)	MEDIUM-SANDSTONE-2's WIP (m3)	MEDIUM-SANDSTONE-3's OIP (m3)	MEDIUM-SANDSTONE-3's WIP (m3)	MUDSTONE-1's OIP (m3)	MUDSTONE-1's WIP (m3)	MUDSTONE-2's OIP (m3)	MUDSTONE-2's WIP (m3)	MUDSTONE-3's OIP (m3)	MUDSTONE-3's WIP (m3)	MUDSTONE-4's OIP (m3)	MUDSTONE-4's WIP (m3)	MUDSTONE-5's OIP (m3)	MUDSTONE-5's WIP (m3)	Model's OIP (m3)	Model's WIP (m3)	PACKSTONE-1's OIP (m3)	PACKSTONE-1's WIP (m3)	TOP-SEAL's OIP (m3)	TOP-SEAL's WIP (m3)	UNKNOWN-1's OIP (m3)	UNKNOWN-1's WIP (m3)	UNKNOWN-2's OIP (m3)	UNKNOWN-2's WIP (m3)	UNKNOWN-3's OIP (m3)	UNKNOWN-3's WIP (m3)	WACKSTONE-1's OIP (m3)	WACKSTONE-1's WIP (m3)	WELL-1's OIP (m3)	WELL-1's WIP (m3)	WELL-2's OIP (m3)	WELL-2's WIP (m3)	
0	7.79705	39.301	7.55205	67.9685	27.5851	119.592	3.75655	37.9829	11.6467	117.761	8.69353	44.3158	9.30199	57.1408	6.98725	82.5929	18.3216	54.9647	9.86926	60.6255	5.81901	58.8367	1.2137	16.1248	107.912	722.182	118.314	791.793	121.477	812.96	149.197	998.474	24.3073	162.672	19.689	131.765	64.1064	429.02	1.85678	12.4261	23.7494	109.924	23.948	110.844	1.91855	8.88004	4.25754	28.4928	1.23176	11.0858	0.544394	8.52885	0.91936	7.43845	0.597745	6.04387	1219.61	8028.5	1.80766	13.6424	0	0.148528	195.617	1309.13	44.6904	299.082	190.94	1277.83	1.28254	10.377	0	8.56027	2.70621	0	
1	7.79705	39.301	7.55205	67.9685	27.5851	119.592	3.75656	37.9829	11.6467	117.761	8.69353	44.3158	9.30199	57.1408	6.98725	82.5929	18.3216	54.9647	9.86926	60.6255	5.81901	58.8367	1.2137	16.1248	107.912	722.182	118.314	791.793	121.477	812.96	149.197	998.474	24.3073	162.672	19.689	131.765	64.1064	429.02	1.85678	12.4261	23.7494	109.924	23.948	110.844	1.91855	8.88004	4.25754	28.4928	1.23176	11.0858	0.544394	8.52885	0.91936	7.43845	0.597745	6.04387	1219.61	8028.5	1.80766	13.6424	0	0.148528	195.617	1309.13	44.6904	299.082	190.94	1277.83	1.28254	10.377	0	8.56027	2.70621	3.28994e-009	
2.592e+006	7.79705	39.301	7.55205	67.9685	27.5851	119.592	5.10163	36.6379	15.7341	113.673	9.37418	43.6352	10.9782	55.4645	9.85784	79.7223	19.8832	53.4031	9.86926	60.6255	5.81901	58.8367	1.2137	16.1248	112.641	717.453	122.535	787.571	124.039	810.398	152.981	994.691	26.3707	160.609	19.689	131.765	64.1064	429.02	1.85678	12.4261	23.7494	109.924	23.948	110.844	1.91855	8.88004	4.54635	28.204	1.23176	11.0858	0.544394	8.52885	0.91936	7.43845	0.597745	6.04387	1252.02	7996.1	1.80766	13.6424	9.70938e-009	0.148528	198.169	1306.58	44.6904	299.082	190.94	1277.83	1.28254	10.377	0	8.56027	2.69224	0.0139724	
5.184e+006	7.79705	39.301	7.55205	67.9685	27.5851	119.592	6.06099	35.6785	18.6408	110.767	9.8779	43.1314	11.6943	54.7485	12.4083	77.1719	20.3849	52.9014	9.86926	60.6255	5.81901	58.8367	1.2137	16.1248	117.267	712.827	126.542	783.564	127.126	807.311	158.678	988.994	27.4159	159.563	19.689	131.765	64.1064	429.02	1.85678	12.4261	23.7494	109.924	23.948	110.844	1.91855	8.88004	5.11135	27.639	1.23176	11.0858	0.544394	8.52885	0.91936	7.43845	0.597745	6.04387	1284.43	7963.69	1.80766	13.6424	2.73577e-008	0.148528	203.48	1301.27	44.6904	299.082	190.94	1277.83	1.28254	10.377	0	8.56027	2.6222	0.084014	
7.776e+006	7.79705	39.301	7.55205	67.9685	27.5851	119.592	6.96429	34.7752	21.162	108.245	10.4457	42.5636	12.566	53.8768	13.8306	75.7495	21.8049	51.4814	9.86926	60.6255	5.81901	58.8367	1.2137	16.1248	121.792	708.302	130.148	779.959	130.091	804.346	164.198	983.473	28.8866	158.093	19.689	131.765	64.1064	429.02	1.85678	12.4261	23.7494	109.924	23.948	110.844	1.91855	8.88004	5.282	27.4683	1.23176	11.0858	0.544394	8.52885	0.91936	7.43845	0.597745	6.04387	1316.84	7931.28	1.80766	13.6424	4.70763e-008	0.148528	209.991	1294.75	44.6904	299.082	190.94	1277.83	1.28254	10.377	0	8.56027	2.55453	0.151687	
1.0368e+007	7.79705	39.301	7.55205	67.9685	27.5851	119.592	7.75562	33.9839	23.4089	105.999	10.9597	42.0497	13.6081	52.8347	15.1801	74.4001	23.1741	50.1122	9.86926	60.6255	5.81901	58.8367	1.2137	16.1248	126.281	703.813	133.495	776.611	133.04	801.397	168.288	979.383	30.4169	156.562	19.689	131.765	64.1064	429.02	1.85678	12.4261	23.7494	109.924	23.948	110.844	1.91855	8.88004	5.44185	27.3085	1.23176	11.0858	0.544394	8.52885	0.91936	7.43845	0.597745	6.04387	1349.24	7898.88	1.80766	13.6424	8.23804e-008	0.148528	218.442	1286.3	44.6904	299.082	190.94	1277.83	1.28254	10.377	0	8.56027	2.6319	0.0743131	
1.296e+007	7.79705	39.301	7.55205	67.9685	27.5851	119.592	8.50666	33.2328	25.5237	103.884	11.4805	41.5289	14.6714	51.7713	16.6053	72.9749	24.3583	48.928	9.86926	60.6255	5.81901	58.8367	1.2137	16.1248	130.168	699.926	137.255	772.851	135.892	798.545	172.01	975.661	31.381	155.598	19.689	131.765	64.1064	429.02	1.85678	12.4261	23.7494	109.924	23.948	110.844	1.91855	8.88004	5.5994	27.1509	1.23176	11.0858	0.544394	8.52885	0.91936	7.43845	0.597745	6.04387	1381.65	7866.47	1.80766	13.6424	1.23508e-007	0.148528	228.407	1276.34	44.6904	299.082	190.94	1277.83	1.28261	10.3769	0	8.56027	2.67242	0.0337984	
1.5552e+007	7.79705	39.301	7.55205	67.9685	27.5851	119.592	9.29835	32.4411	27.7185	101.689	12.1131	40.8962	15.7087	50.7341	17.9583	71.6219	25.3701	47.9162	9.86926	60.6255	5.81901	58.8367	1.2137	16.1248	133.618	696.476	140.977	769.129	138.553	795.884	175.464	972.208	32.3805	154.599	19.689	131.765	64.1064	429.02	1.85678	12.4261	23.7494	109.924	23.948	110.844	1.91855	8.88004	5.7835	26.9668	1.23176	11.0858	0.544394	8.52885	0.91936	7.43845	0.597745	6.04387	1414.06	7834.06	1.84699	13.6031	2.14249e-007	0.148528	239.238	1265.51	44.7366	299.036	190.94	1277.83	1.2853	10.3742	0	8.56027	2.66834	0.0378745	
1.8144e+007	7.79705	39.301	7.55205	67.9685	27.5851	119.592	10.0809	31.6585	29.7448	99.6626	12.7136	40.2958	16.7949	49.6479	19.1553	70.4249	26.116	47.1703	9.86926	60.6255	5.81901	58.8367	1.2137	16.1248	136.846	693.248	144.707	765.4	141.276	793.161	178.785	968.886	33.1032	153.876	19.69	131.763	64.1064	429.02	1.85678	12.4261	23.7494	109.924	23.948	110.844	1.91855	8.88004	6.06828	26.682	1.34839	10.9692	0.544394	8.52885	0.91936	7.43845	0.597745	6.04387	1446.46	7801.66	1.96206	13.488	2.62181e-007	0.148528	249.825	1254.92	45.8736	297.899	190.94	1277.83	1.30123	10.3583	0	8.56027	2.65523	0.050982	
2.0736e+007	7.79705	39.301	7.55205	67.9685	27.5851	119.592	10.8989	30.8406	31.8429	97.5645	13.1669	39.8424	18.208	48.2347	20.3742	69.206	26.7852	46.5011	9.86926	60.6255	6.10665	58.549	1.2137	16.1248	139.892	690.202	148.189	761.917	143.737	790.699	181.881	965.79	33.8795	153.1	20.8228	130.631	64.1065	429.019	1.85678	12.4261	23.7494	109.924	23.948	110.844	1.91855	8.88004	6.36426	26.3861	1.39045	10.9272	0.544394	8.52885	0.91936	7.43845	0.597745	6.04387	1478.87	7769.25	2.36279	13.0873	2.70967e-007	0.148528	258.573	1246.17	47.793	295.98	190.94	1277.83	1.35431	10.3052	0	8.56027	2.64886	0.0573523	
