Time (s)	COARSE-SANDSTONE-1's OIP (m3)	COARSE-SANDSTONE-1's WIP (m3)	FAULT's OIP (m3)	FAULT's WIP (m3)	FINE-SANDSTONE-1's OIP (m3)	FINE-SANDSTONE-1's WIP (m3)	GRAINSTONE-1's OIP (m3)	GRAINSTONE-1's WIP (m3)	GRAINSTONE-2's OIP (m3)	GRAINSTONE-2's WIP (m3)	GRAINSTONE-3's OIP (m3)	GRAINSTONE-3's WIP (m3)	GRAINSTONE-4's OIP (m3)	GRAINSTONE-4's WIP (m3)	GRAINSTONE-5's OIP (m3)	GRAINSTONE-5's WIP (m3)	GRAINSTONE-6's OIP (m3)	GRAINSTONE-6's WIP (m3)	GRAINSTONE-7's OIP (m3)	GRAINSTONE-7's WIP (m3)	GRAINSTONE-8's OIP (m3)	GRAINSTONE-8's WIP (m3)	GRAINSTONE-9's OIP (m3)	GRAINSTONE-9's WIP (m3)	MARL-1's OIP (m3)	MARL-1's WIP (m3)	MARL-2's OIP (m3)	MARL-2's WIP (m3)	MARL-3's OIP (m3)	MARL-3's WIP (m3)	MARL-4's OIP (m3)	MARL-4's WIP (m3)	MARL-5's OIP (m3)	MARL-5's WIP (m3)	MARL-6's OIP (m3)	MARL-6's WIP (m3)	MARL-7's OIP (m3)	MARL-7's WIP (m3)	MARL-8's OIP (m3)	MARL-8's WIP (m3)	MEDIUM-SANDSTONE-1's OIP (m3)	MEDIUM-SANDSTONE-1's WIP (m3)	MEDIUM-SANDSTONE-2's OIP (m3)	MEDIUM-SANDSTONE-2's WIP (m3)	MEDIUM-SANDSTONE-3's OIP (m3)	MEDIUM-SANDSTONE-3's WIP (m3)	MUDSTONE-1's OIP (m3)	MUDSTONE-1's WIP (m3)	MUDSTONE-2's OIP (m3)	MUDSTONE-2's WIP (m3)	MUDSTONE-3's OIP (m3)	MUDSTONE-3's WIP (m3)	MUDSTONE-4's OIP (m3)	MUDSTONE-4's WIP (m3)	MUDSTONE-5's OIP (m3)	MUDSTONE-5's WIP (m3)	Model's OIP (m3)	Model's WIP (m3)	PACKSTONE-1's OIP (m3)	PACKSTONE-1's WIP (m3)	TOP-SEAL's OIP (m3)	TOP-SEAL's WIP (m3)	UNKNOWN-1's OIP (m3)	UNKNOWN-1's WIP (m3)	UNKNOWN-2's OIP (m3)	UNKNOWN-2's WIP (m3)	UNKNOWN-3's OIP (m3)	UNKNOWN-3's WIP (m3)	WACKSTONE-1's OIP (m3)	WACKSTONE-1's WIP (m3)	WELL-1's OIP (m3)	WELL-1's WIP (m3)	WELL-2's OIP (m3)	WELL-2's WIP (m3)	
0	7.79705	39.301	7.55205	67.9685	27.5851	119.592	3.75655	37.9829	11.6467	117.761	8.69353	44.3158	9.30199	57.1408	6.98725	82.5929	18.3216	54.9647	9.86926	60.6255	5.81901	58.8367	1.2137	16.1248	107.912	722.182	118.314	791.793	121.477	812.96	149.197	998.474	24.3073	162.672	19.689	131.765	64.1064	429.02	1.85678	12.4261	23.7494	109.924	23.948	110.844	1.91855	8.88004	4.25754	28.4928	1.23176	11.0858	0.544394	8.52885	0.91936	7.43845	0.597745	6.04387	1219.61	8028.5	1.80766	13.6424	0	0.148528	195.617	1309.13	44.6904	299.082	190.94	1277.83	1.28254	10.377	0	8.56027	2.70621	0	
1	7.79705	39.301	7.55205	67.9685	27.5851	119.592	3.75655	37.9829	11.6467	117.761	8.69353	44.3158	9.30199	57.1408	6.98725	82.5929	18.3216	54.9647	9.86926	60.6255	5.81901	58.8367	1.2137	16.1248	107.912	722.182	118.314	791.793	121.477	812.96	149.197	998.474	24.3073	162.672	19.689	131.765	64.1064	429.02	1.85678	12.4261	23.7494	109.924	23.948	110.844	1.91855	8.88004	4.25754	28.4928	1.23176	11.0858	0.544394	8.52885	0.91936	7.43845	0.597745	6.04387	1219.61	8028.5	1.80766	13.6424	0	0.148528	195.617	1309.13	44.6904	299.082	190.94	1277.83	1.28254	10.377	0	8.56027	2.70621	2.68044e-008	
2.592e+006	7.79705	39.301	7.55205	67.9685	27.5851	119.592	4.65805	37.0814	14.2442	115.163	9.14314	43.8662	10.5346	55.9082	8.37326	81.2069	19.6256	53.6607	9.86926	60.6255	5.81901	58.8367	1.2137	16.1248	110.273	719.821	120.245	789.861	122.758	811.678	150.855	996.816	25.4092	161.57	19.689	131.765	64.1064	429.02	1.85678	12.4261	23.7494	109.924	23.948	110.844	1.91855	8.88004	4.26364	28.4867	1.23176	11.0858	0.544394	8.52885	0.91936	7.43845	0.597745	6.04387	1236.52	8011.6	1.80766	13.6424	6.19239e-009	0.148528	196.321	1308.42	44.6904	299.082	190.94	1277.83	1.28254	10.377	0	8.56027	2.69668	0.00953124	
5.184e+006	7.79705	39.301	7.55205	67.9685	27.5851	119.592	5.29742	36.4421	16.2483	113.159	9.49578	43.5136	11.3469	55.0959	10.1748	79.4053	20.1221	53.1642	9.86926	60.6255	5.81901	58.8367	1.2137	16.1248	112.637	717.457	122.483	787.623	124.056	810.381	152.869	994.802	26.4173	160.562	19.689	131.765	64.1064	429.02	1.85678	12.4261	23.7494	109.924	23.948	110.844	1.91855	8.88004	4.28482	28.4655	1.23176	11.0858	0.544394	8.52885	0.91936	7.43845	0.597745	6.04387	1253.42	7994.69	1.80766	13.6424	8.0071e-008	0.148528	198.169	1306.58	44.6904	299.082	190.94	1277.83	1.28254	10.377	0	8.56027	2.70309	0.00312334	
7.776e+006	7.79705	39.301	7.55205	67.9685	27.5851	119.592	5.86981	35.8697	17.9922	111.415	9.87599	43.1334	11.8681	54.5747	11.9681	77.6121	20.5637	52.7226	9.86926	60.6255	5.81901	58.8367	1.2137	16.1248	115.046	715.049	124.506	785.6	125.599	808.838	155.272	992.399	26.9253	160.054	19.689	131.765	64.1064	429.02	1.85678	12.4261	23.7494	109.924	23.948	110.844	1.91855	8.88004	4.38937	28.3609	1.23176	11.0858	0.544394	8.52885	0.91936	7.43845	0.597745	6.04387	1270.33	7977.79	1.80766	13.6424	5.82215e-007	0.148527	200.644	1304.1	44.6904	299.082	190.94	1277.83	1.28254	10.377	0	8.56027	2.69113	0.0150839	
1.0368e+007	7.79705	39.301	7.55205	67.9685	27.5851	119.592	6.43199	35.3075	19.6903	109.717	10.1791	42.8302	12.4529	53.9899	12.8583	76.7219	21.0678	52.2185	9.86926	60.6255	5.81901	58.8367	1.2137	16.1248	117.358	712.737	126.401	783.705	127.179	807.258	158.58	989.092	27.4886	159.491	19.689	131.765	64.1064	429.02	1.85678	12.4261	23.7494	109.924	23.948	110.844	1.91855	8.88004	4.44447	28.3058	1.23176	11.0858	0.544394	8.52885	0.91936	7.43845	0.597745	6.04387	1287.23	7960.88	1.80766	13.6424	7.31064e-007	0.148527	203.278	1301.47	44.6904	299.082	190.94	1277.83	1.28254	10.377	0	8.56027	2.70631	-9.70416e-005	
1.296e+007	7.79705	39.301	7.55205	67.9685	27.5851	119.592	6.95465	34.7848	21.2555	108.152	10.5593	42.4501	13.1011	53.3416	13.6968	75.8834	22.0109	51.2754	9.86926	60.6255	5.81901	58.8367	1.2137	16.1248	119.716	710.378	128.187	781.92	128.692	805.745	161.294	986.377	28.301	158.678	19.689	131.765	64.1064	429.02	1.85678	12.4261	23.7494	109.924	23.948	110.844	1.91855	8.88004	4.45336	28.297	1.23176	11.0858	0.544394	8.52885	0.91936	7.43845	0.597745	6.04387	1304.14	7943.98	1.80766	13.6424	7.85456e-007	0.148527	206.093	1298.65	44.6904	299.082	190.94	1277.83	1.28254	10.377	0	8.56027	2.70633	-0.000114871	
1.5552e+007	7.79705	39.301	7.55205	67.9685	27.5851	119.592	7.42372	34.3158	22.6561	106.751	10.8841	42.1252	13.8995	52.5433	14.3525	75.2277	22.993	50.2933	9.86926	60.6255	5.81901	58.8367	1.2137	16.1248	122.126	707.968	129.966	780.14	130.226	804.211	163.461	984.211	29.2268	157.752	19.689	131.765	64.1064	429.02	1.85678	12.4261	23.7494	109.924	23.948	110.844	1.91855	8.88004	4.47038	28.2799	1.23176	11.0858	0.544394	8.52885	0.91936	7.43845	0.597745	6.04387	1321.04	7927.08	1.80766	13.6424	7.9595e-007	0.148527	209.531	1295.21	44.6904	299.082	190.94	1277.83	1.28254	10.377	0	8.56027	2.70887	-0.00265258	
1.8144e+007	7.79705	39.301	7.55205	67.9685	27.5851	119.592	7.85922	33.8803	24.072	105.335	11.1501	41.8592	14.7022	51.7406	15.0934	74.4868	24.0443	49.242	9.86926	60.6255	5.81901	58.8367	1.2137	16.1248	124.433	705.662	131.786	778.32	131.768	802.669	165.18	982.492	30.0088	156.971	19.689	131.765	64.1064	429.02	1.85678	12.4261	23.7494	109.924	23.948	110.844	1.91855	8.88004	4.4927	28.2576	1.23176	11.0858	0.544394	8.52885	0.91936	7.43845	0.597745	6.04387	1337.95	7910.17	1.80766	13.6424	8.13902e-007	0.148527	213.533	1291.21	44.6904	299.082	190.94	1277.83	1.28254	10.377	0	8.56027	2.70909	-0.00287145	
2.0736e+007	7.79705	39.301	7.55205	67.9685	27.5851	119.592	8.26397	33.4755	25.559	103.848	11.3764	41.6329	15.4007	51.042	15.9503	73.6299	24.927	48.3593	9.86926	60.6255	5.81901	58.8367	1.2137	16.1248	126.712	703.382	133.509	776.597	133.298	801.139	166.853	980.819	30.7671	156.212	19.689	131.765	64.1064	429.02	1.85678	12.4261	23.7494	109.924	23.948	110.844	1.91855	8.88004	4.53275	28.2176	1.23176	11.0858	0.544394	8.52885	0.91936	7.43845	0.597745	6.04387	1354.85	7893.27	1.80766	13.6424	8.19616e-007	0.148527	217.877	1286.87	44.6904	299.082	190.94	1277.83	1.28254	10.377	0	8.56027	2.70883	-0.00261837	
